               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087762,            0.052781,            0.026297,             0.79037,             0.19436,             0.12255,            0.027785,            0.064096,            0.029908,            0.018269,             0.00233,             0.00233,             0.07903
                   1,            0.062196,            0.040866,            0.017984,              0.5774,             0.40294,             0.30902,             0.11968,            0.049777,            0.024508,            0.013699,           0.0036193,           0.0036193,            0.056919
                   2,            0.050921,            0.036122,            0.013032,             0.73069,             0.49247,             0.46986,             0.20595,            0.043225,            0.022847,           0.0097108,           0.0022783,           0.0022783,            0.032178
