               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087473,            0.052814,            0.026333,             0.78958,             0.18643,             0.11733,            0.027257,            0.066423,            0.029697,            0.018282,             0.00233,             0.00233,             0.07903
                   1,            0.063133,            0.040317,            0.017784,             0.60388,              0.3925,             0.32973,             0.11837,             0.04877,              0.0234,            0.012448,           0.0046659,           0.0046659,            0.057966
                   2,            0.058515,            0.035118,            0.011772,             0.75365,             0.38196,              0.4201,             0.14464,            0.050953,            0.021968,           0.0086804,           0.0069851,           0.0069851,            0.036885
                   3,            0.054894,            0.032614,            0.010164,             0.70099,             0.40811,             0.41676,             0.17948,            0.049137,            0.020726,           0.0088025,           0.0092755,           0.0092755,            0.015775
                   4,            0.048926,            0.033118,           0.0091837,             0.84886,             0.47851,             0.53011,              0.2794,            0.036795,            0.021202,           0.0073399,           0.0098586,           0.0098586,           0.0098586
                   5,            0.043517,            0.032393,           0.0081858,             0.90233,             0.49191,             0.58685,             0.33568,            0.036081,            0.020541,           0.0082041,           0.0098586,           0.0098586,           0.0098586
                   6,            0.038538,            0.030568,           0.0075894,             0.51003,             0.69818,             0.67248,             0.39488,            0.031595,            0.019805,           0.0064294,           0.0097798,           0.0097798,           0.0097798
                   7,            0.036397,            0.029035,           0.0070046,             0.58536,             0.70727,             0.68963,             0.41184,            0.030584,            0.019323,           0.0057621,            0.009684,            0.009684,            0.009684
                   8,            0.033761,            0.027028,           0.0062957,             0.68416,             0.71388,             0.72405,             0.45721,            0.031484,            0.019271,           0.0056717,           0.0095717,           0.0095717,           0.0095717
                   9,            0.033168,             0.02696,           0.0059537,             0.65358,             0.68119,             0.68891,             0.42416,            0.029131,            0.019245,           0.0058401,           0.0094434,           0.0094434,           0.0094434
                  10,             0.03288,            0.027018,            0.005493,             0.69007,             0.74129,             0.75139,                0.45,            0.029722,            0.019013,           0.0051956,           0.0092995,           0.0092995,           0.0092995
                  11,            0.031249,             0.02617,           0.0045721,             0.81352,             0.76014,             0.79367,             0.46737,            0.028528,            0.019099,            0.005173,           0.0091406,           0.0091406,           0.0091406
                  12,            0.030788,            0.025316,           0.0041198,             0.87222,             0.69656,             0.77888,             0.48096,             0.02812,            0.018799,           0.0052159,           0.0089673,           0.0089673,           0.0089673
                  13,             0.02996,             0.02514,           0.0042782,             0.85018,             0.71974,             0.79583,             0.49223,            0.028026,            0.018938,           0.0043001,           0.0087804,           0.0087804,           0.0087804
                  14,            0.028949,            0.025104,           0.0035861,             0.76244,             0.78313,             0.79095,              0.4824,            0.027942,            0.018839,           0.0044075,           0.0085805,           0.0085805,           0.0085805
                  15,            0.029207,            0.025823,           0.0032262,             0.85057,             0.77729,              0.8297,             0.52393,            0.026419,            0.018798,           0.0039811,           0.0083684,           0.0083684,           0.0083684
                  16,            0.027856,            0.024922,           0.0031933,             0.89366,             0.73945,             0.80728,             0.50492,            0.027412,            0.018931,           0.0046357,            0.008145,            0.008145,            0.008145
                  17,            0.028015,            0.025666,           0.0028211,             0.89381,             0.74157,             0.83418,             0.51245,            0.027901,            0.018834,            0.004191,           0.0079112,           0.0079112,           0.0079112
                  18,             0.02719,            0.023667,           0.0025556,             0.84518,             0.75923,             0.82098,             0.53194,            0.027202,            0.018959,           0.0042153,           0.0076679,           0.0076679,           0.0076679
                  19,            0.027296,            0.024574,           0.0025673,             0.87249,             0.76013,             0.82609,             0.52899,            0.026346,            0.018672,           0.0042329,            0.007416,            0.007416,            0.007416
                  20,            0.025596,            0.022267,           0.0020789,             0.87282,             0.76774,             0.83654,              0.5436,            0.025826,            0.018547,           0.0043485,           0.0071566,           0.0071566,           0.0071566
                  21,             0.02574,            0.023484,           0.0021025,             0.88011,             0.76402,             0.83424,              0.5399,             0.02649,             0.01899,           0.0046142,           0.0068906,           0.0068906,           0.0068906
                  22,            0.024855,            0.022158,           0.0020458,             0.87976,             0.75544,             0.82028,             0.54704,            0.025477,               0.019,           0.0046213,           0.0066191,           0.0066191,           0.0066191
                  23,            0.023898,            0.021544,           0.0020515,             0.90144,             0.72631,             0.80722,             0.53759,            0.025883,            0.019405,           0.0045297,           0.0063432,           0.0063432,           0.0063432
                  24,            0.024101,            0.022275,           0.0020136,             0.92173,             0.76072,             0.83886,             0.55577,            0.025538,            0.018551,           0.0039102,            0.006064,            0.006064,            0.006064
                  25,            0.023205,            0.021917,           0.0016075,             0.86487,             0.76746,             0.83108,             0.54956,            0.025442,            0.018732,           0.0042208,           0.0057826,           0.0057826,           0.0057826
                  26,            0.022907,            0.020844,            0.001686,             0.91017,             0.78671,             0.85864,             0.56094,            0.025485,            0.018678,           0.0038486,              0.0055,              0.0055,              0.0055
                  27,            0.022708,            0.021943,           0.0017622,             0.82309,             0.82405,             0.84613,             0.57292,            0.024567,            0.018872,           0.0038834,           0.0052174,           0.0052174,           0.0052174
                  28,            0.021934,            0.020239,           0.0016935,              0.9288,             0.77679,             0.86391,              0.5852,            0.024516,            0.018618,           0.0036044,            0.004936,            0.004936,            0.004936
                  29,            0.021702,            0.019251,           0.0015209,             0.92811,             0.74527,             0.83389,             0.55219,            0.024704,            0.018653,            0.004313,           0.0046568,           0.0046568,           0.0046568
                  30,            0.021065,            0.019213,           0.0014399,             0.88512,             0.79285,             0.84187,             0.55859,            0.024894,            0.019038,           0.0040496,           0.0043809,           0.0043809,           0.0043809
                  31,            0.020228,            0.019459,           0.0013407,             0.93349,             0.76472,             0.84863,             0.56994,            0.024607,             0.01874,           0.0040236,           0.0041094,           0.0041094,           0.0041094
                  32,             0.02011,            0.019908,           0.0013393,             0.89893,             0.78759,              0.8444,             0.56461,            0.024818,            0.018938,           0.0042611,           0.0038434,           0.0038434,           0.0038434
                  33,            0.019642,            0.018867,           0.0012785,             0.91477,             0.74762,             0.83328,             0.56928,            0.024612,            0.018912,           0.0041096,            0.003584,            0.003584,            0.003584
                  34,            0.019594,            0.018634,           0.0013574,             0.90687,             0.76564,             0.84359,             0.56956,            0.024798,            0.019159,           0.0043115,           0.0033321,           0.0033321,           0.0033321
                  35,            0.019163,            0.019313,           0.0011478,              0.8933,             0.75939,             0.83278,             0.56324,            0.024622,            0.019043,           0.0044392,           0.0030888,           0.0030888,           0.0030888
                  36,            0.018682,            0.018354,           0.0010705,             0.91251,             0.73064,             0.80934,             0.55428,            0.024469,            0.019036,           0.0049407,            0.002855,            0.002855,            0.002855
                  37,            0.018388,            0.017547,            0.001131,             0.90814,             0.76036,             0.84163,             0.57623,            0.024318,            0.019031,            0.004432,           0.0026316,           0.0026316,           0.0026316
                  38,            0.018147,            0.018025,          0.00096586,             0.92019,             0.78982,             0.85838,             0.58375,            0.024667,            0.019194,           0.0040699,           0.0024195,           0.0024195,           0.0024195
                  39,             0.01779,            0.017088,            0.001018,             0.91753,             0.77544,             0.84683,              0.5792,            0.023949,            0.019034,           0.0041429,           0.0022196,           0.0022196,           0.0022196
                  40,            0.017485,            0.017353,          0.00091258,             0.92928,             0.76956,             0.84204,             0.57947,            0.023911,            0.019159,           0.0043878,           0.0020327,           0.0020327,           0.0020327
                  41,             0.01711,            0.017479,          0.00095085,             0.90506,              0.7736,             0.84371,              0.5761,            0.024134,            0.019467,           0.0042955,           0.0018594,           0.0018594,           0.0018594
                  42,            0.017131,            0.017434,          0.00097546,             0.93731,             0.74195,             0.83873,             0.57978,            0.023997,            0.019391,           0.0044268,           0.0017005,           0.0017005,           0.0017005
                  43,            0.016905,            0.016811,          0.00084982,             0.92038,             0.76546,             0.84815,             0.58616,            0.023812,            0.019081,           0.0042681,           0.0015566,           0.0015566,           0.0015566
                  44,            0.016456,            0.016326,          0.00075856,             0.90718,             0.79724,             0.85476,             0.58546,            0.023953,            0.019279,           0.0041563,           0.0014283,           0.0014283,           0.0014283
                  45,            0.016572,            0.017214,          0.00076183,             0.94677,             0.77371,             0.85381,             0.59244,            0.023946,            0.019395,           0.0041144,            0.001316,            0.001316,            0.001316
                  46,            0.016167,            0.016422,          0.00074313,             0.91305,               0.788,             0.85077,             0.59296,            0.023822,            0.019244,           0.0041473,           0.0012202,           0.0012202,           0.0012202
                  47,             0.01618,            0.015931,          0.00070392,             0.92341,             0.78343,                0.85,             0.58384,             0.02366,            0.019254,           0.0045216,           0.0011414,           0.0011414,           0.0011414
                  48,            0.016153,            0.017121,           0.0008483,             0.89969,              0.7919,             0.85166,             0.59516,            0.023538,             0.01936,           0.0043538,           0.0010797,           0.0010797,           0.0010797
                  49,            0.015922,            0.016874,          0.00066398,             0.89873,             0.78076,             0.84649,             0.59428,            0.023507,            0.019325,            0.004528,           0.0010355,           0.0010355,           0.0010355
