               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096584,            0.029792,            0.026507,           0.0075273,             0.13802,           0.0048941,          0.00079096,            0.091012,            0.023492,            0.025436,              0.0006,              0.0006,              0.0946
                   1,             0.09059,             0.03274,            0.025744,            0.006326,             0.12227,           0.0036904,          0.00070482,            0.089189,            0.024045,            0.024805,             0.00121,             0.00121,             0.08911
                   2,            0.087617,            0.033217,            0.025371,           0.0096955,             0.07217,           0.0041842,          0.00089995,            0.086376,            0.024606,            0.024122,           0.0018198,           0.0018198,             0.08362
                   3,             0.08367,            0.035173,             0.02508,           0.0063905,             0.24816,           0.0038961,          0.00078837,            0.082302,            0.026085,            0.023613,           0.0024295,           0.0024295,            0.078129
                   4,            0.080141,            0.036985,            0.024611,            0.028482,            0.067004,            0.011398,           0.0024218,            0.079624,            0.026606,            0.022835,           0.0030388,           0.0030388,            0.072639
                   5,            0.074128,            0.037675,            0.023628,             0.15802,             0.20974,             0.14657,            0.039581,             0.06721,            0.027926,            0.020587,           0.0036477,           0.0036477,            0.067148
                   6,            0.067864,            0.037715,            0.021854,             0.28752,             0.35116,             0.29643,             0.10809,            0.062413,            0.025802,            0.017606,           0.0042562,           0.0042562,            0.061656
                   7,            0.060313,            0.033854,            0.019616,             0.46819,             0.47806,             0.48171,             0.21171,            0.056484,            0.022327,            0.014001,           0.0048641,           0.0048641,            0.056164
                   8,            0.055957,            0.030976,            0.016978,             0.69123,             0.57253,             0.63022,             0.26708,            0.053047,            0.019585,            0.011776,           0.0054714,           0.0054714,            0.050671
                   9,            0.052048,            0.027254,            0.015303,             0.78027,             0.56009,             0.61122,             0.24805,            0.053513,            0.018092,            0.010947,           0.0060778,           0.0060778,            0.045178
                  10,            0.050927,              0.0269,              0.0134,             0.79614,             0.68199,             0.74686,             0.34685,            0.048879,            0.017825,           0.0087494,           0.0066835,           0.0066835,            0.039683
                  11,            0.049263,            0.025823,            0.012328,             0.60949,             0.55786,             0.55485,             0.25612,            0.051587,            0.019145,           0.0096467,           0.0072882,           0.0072882,            0.034188
                  12,            0.049231,             0.02494,            0.011242,              0.7741,             0.66857,             0.74128,             0.36723,            0.043871,            0.015588,            0.009321,           0.0078919,           0.0078919,            0.028692
                  13,            0.047633,            0.024689,            0.010362,             0.75809,             0.76549,             0.79918,             0.40427,            0.044181,            0.016412,           0.0055912,           0.0084945,           0.0084945,            0.023194
                  14,             0.04695,            0.023619,           0.0098482,             0.82079,             0.78098,              0.8226,             0.43312,            0.041716,             0.01455,           0.0047425,           0.0090959,           0.0090959,            0.017696
                  15,            0.045912,            0.022823,           0.0095547,             0.66958,             0.62965,             0.64047,             0.32326,            0.044368,            0.019791,           0.0068164,            0.009696,            0.009696,            0.012196
                  16,            0.044533,            0.023321,           0.0094604,             0.81485,             0.77121,             0.81695,              0.4091,            0.042203,            0.014111,           0.0057507,            0.009937,            0.009937,            0.009937
                  17,            0.043575,            0.023345,           0.0088488,             0.83149,             0.74211,             0.81885,             0.45307,            0.041113,             0.01383,           0.0061635,            0.009937,            0.009937,            0.009937
                  18,            0.042082,            0.022828,           0.0081222,              0.7966,             0.73636,              0.8054,             0.41507,            0.042399,            0.015245,           0.0056167,           0.0099289,           0.0099289,           0.0099289
                  19,            0.041293,             0.02215,           0.0079241,             0.83969,              0.6719,             0.78142,             0.42025,             0.04117,            0.014124,           0.0074499,           0.0099203,           0.0099203,           0.0099203
                  20,            0.040682,             0.02205,           0.0079431,             0.81063,             0.78783,             0.84755,             0.44751,            0.040593,            0.013892,           0.0049333,           0.0099112,           0.0099112,           0.0099112
                  21,            0.040709,            0.022007,            0.007601,             0.86434,             0.74713,             0.85584,             0.46621,            0.038788,            0.012839,           0.0047825,           0.0099017,           0.0099017,           0.0099017
                  22,            0.038549,            0.021312,           0.0071987,             0.79823,             0.79344,             0.84047,              0.4512,            0.039048,            0.013038,           0.0041034,           0.0098916,           0.0098916,           0.0098916
                  23,            0.039877,            0.020945,           0.0072265,             0.84024,             0.81671,             0.84852,             0.47227,            0.037442,            0.013622,           0.0041332,           0.0098811,           0.0098811,           0.0098811
                  24,            0.038575,            0.021051,             0.00636,             0.85182,              0.8072,             0.85683,              0.4488,            0.040215,            0.012848,           0.0039975,           0.0098701,           0.0098701,           0.0098701
